sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C5556","141s","INWK.EStore.srprofile","Passed","Automated"
"C5556","","INWK.EStore.srprofile","","Automated"
"C56839","321s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56839","","INWK.EStore.srprofile","","To Be Automated"
"C56840","17s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56840","","INWK.EStore.srprofile","","To Be Automated"
"C2835","548s","INWK.EStore.srprofile","Passed","Automated"
"C2835","","INWK.EStore.srprofile","","Automated"
"C2836","521s","INWK.EStore.srprofile","Passed","Automated"
"C2836","","INWK.EStore.srprofile","","Automated"
"C56859","218s","INWK.EStore.srprofile","Passed","Automated"
"C56859","","INWK.EStore.srprofile","","Automated"
"C56860","207s","INWK.EStore.srprofile","Passed","Automated"
"C56860","","INWK.EStore.srprofile","","Automated"
"C56861","468s","","Passed","Manual Only"
"C56861","","","","Manual Only"
"C56864","505s","","Passed","Manual Only"
"C56864","","","","Manual Only"
"C105657","350s","","Passed","To Be Automated"
"C105657","","","","To Be Automated"
"C105658","135s","","Passed","To Be Automated"
"C105658","","","","To Be Automated"
"C105659","36s","","Passed","To Be Automated"
"C105659","","","","To Be Automated"
"C105660","33s","","Passed","To Be Automated"
"C105660","","","","To Be Automated"
"C31311","539s","INWK.EStore.srprofile","Passed","To Be Automated"
"C31311","","INWK.EStore.srprofile","","To Be Automated"
"C31312","460s","INWK.EStore.srprofile","Passed","Automated"
"C31312","242s","INWK.EStore.srprofile","Retest","Automated"
"C31312","149s","INWK.EStore.srprofile","Retest","Automated"
"C31312","90s","INWK.EStore.srprofile","Retest","Automated"
"C31312","83s","INWK.EStore.srprofile","Retest","Automated"
"C31312","","INWK.EStore.srprofile","","Automated"
"C2888","112s","","Passed","To Be Automated"
"C2888","","","","To Be Automated"
"C2889","68s","INWK.EStore.srprofile","Passed","Automated"
"C2889","","INWK.EStore.srprofile","","Automated"
"C2890","41s","INWK.EStore.srprofile","Passed","Automated"
"C2890","","INWK.EStore.srprofile","","Automated"
"C31322","289s","INWK.EStore.srprofile","Passed","Automated"
"C31322","","INWK.EStore.srprofile","","Automated"
"C122120","388s","","Passed","To Be Automated"
"C122120","","","","To Be Automated"
"C122121","54s","","Passed","To Be Automated"
"C122121","","","","To Be Automated"
"C122122","55s","","Passed","To Be Automated"
"C122122","","","","To Be Automated"
"C2892","336s","INWK.EStore.srprofile","Passed","Automated"
"C2892","","INWK.EStore.srprofile","","Automated"
"C2893","321s","INWK.EStore.srprofile","Passed","Automated"
"C2893","","INWK.EStore.srprofile","","Automated"
"C2895","122s","","Passed","Manual Only"
"C2895","","","","Manual Only"
"C31334","96s","","Passed","Manual Only"
"C31334","298s","","Failed","Manual Only"
"C31334","","","","Manual Only"
"C31329","209s","","Passed","Manual Only"
"C31329","","","","Manual Only"
"C31330","161s","","Passed","Manual Only"
"C31330","161s","","Failed","Manual Only"
"C31330","","","","Manual Only"
"C31331","490s","INWK.EStore.srprofile","Passed","Automated"
"C31331","96s","INWK.EStore.srprofile","Retest","Automated"
"C31331","202s","INWK.EStore.srprofile","Retest","Automated"
"C31331","352s","INWK.EStore.srprofile","Retest","Automated"
"C31331","362s","INWK.EStore.srprofile","Retest","Automated"
"C31331","","INWK.EStore.srprofile","","Automated"
"C328012","248s","","Passed","To Be Automated"
"C328012","","","","To Be Automated"
"C328013","57s","","Passed","To Be Automated"
"C328013","","","","To Be Automated"
"C31333","222s","INWK.EStore.srprofile","Passed","Automated"
"C31333","266s","INWK.EStore.srprofile","Retest","Automated"
"C31333","209s","INWK.EStore.srprofile","Retest","Automated"
"C31333","","INWK.EStore.srprofile","","Automated"
"C31335","327s","INWK.EStore.srprofile","Passed","Automated"
"C31335","127s","INWK.EStore.srprofile","Retest","Automated"
"C31335","","INWK.EStore.srprofile","","Automated"
"C31336","320s","INWK.EStore.srprofile","Passed","Automated"
"C31336","343s","INWK.EStore.srprofile","Retest","Automated"
"C31336","","INWK.EStore.srprofile","","Automated"
"C31337","347s","INWK.EStore.srprofile","Passed","Automated"
"C31337","382s","INWK.EStore.srprofile","Retest","Automated"
"C31337","","INWK.EStore.srprofile","","Automated"
"C56854","485s","","Passed","Manual Only"
"C56854","","","","Manual Only"
"C56855","504s","INWK.EStore.srprofile","Passed","Automated"
"C56855","","INWK.EStore.srprofile","","Automated"
"C122169","1250s","","Passed","To Be Automated"
"C122169","","","","To Be Automated"
"C122170","900s","","Passed","To Be Automated"
"C122170","","","","To Be Automated"
"C31323","414s","INWK.EStore.srprofile","Passed","Automated"
"C31323","","INWK.EStore.srprofile","","Automated"
"C31324","47s","INWK.EStore.srprofile","Passed","Automated"
"C31324","","INWK.EStore.srprofile","","Automated"
"C31326","654s","","Passed","Manual Only"
"C31326","","","","Manual Only"
"C31327","43s","","Passed","Manual Only"
"C31327","","","","Manual Only"
"C31356","71s","","Passed","Manual Only"
"C31356","","","","Manual Only"
"C31358","51s","","Passed","Manual Only"
"C31358","","","","Manual Only"
"C31328","59s","INWK.EStore.srprofile","Passed","Automated"
"C31328","","INWK.EStore.srprofile","","Automated"
"C31325","578s","","Passed","Manual Only"
"C31325","","","","Manual Only"
"C2907","135s","","Passed","Manual Only"
"C2907","","","","Manual Only"
"C2908","610s","","Passed","Manual Only"
"C2908","","","","Manual Only"
"C2910","97s","","Passed","Manual Only"
"C2910","","","","Manual Only"
"C2911","58s","","Passed","Manual Only"
"C2911","","","","Manual Only"
"C2912","203s","","Passed","Manual Only"
"C2912","","","","Manual Only"
"C2913","154s","","Passed","Manual Only"
"C2913","","","","Manual Only"
"C2914","123s","","Passed","Manual Only"
"C2914","","","","Manual Only"
"C2916","88s","","Passed","Manual Only"
"C2916","","","","Manual Only"
"C4840","184s","","Passed","Manual Only"
"C4840","","","","Manual Only"
"C2917","82s","","Passed","Manual Only"
"C2917","","","","Manual Only"
"C2915","120s","","Passed","Manual Only"
"C2915","","","","Manual Only"
"C4709","392s","INWK.EStore.srprofile","Passed","Automated"
"C4709","","INWK.EStore.srprofile","","Automated"
"C4710","788s","INWK.EStore.srprofile","Passed","Automated"
"C4710","","INWK.EStore.srprofile","","Automated"
"C17964","95s","","Passed","Manual Only"
"C17964","","","","Manual Only"
"C17965","49s","","Passed","Manual Only"
"C17965","","","","Manual Only"
"C18008","896s","INWK.EStore.srprofile","Passed","Automated"
"C18008","1102s","INWK.EStore.srprofile","Retest","Automated"
"C18008","903s","INWK.EStore.srprofile","Retest","Automated"
"C18008","840s","INWK.EStore.srprofile","Retest","Automated"
"C18008","304s","INWK.EStore.srprofile","Retest","Automated"
"C18008","577s","INWK.EStore.srprofile","Retest","Automated"
"C18008","308s","INWK.EStore.srprofile","Retest","Automated"
"C18008","","INWK.EStore.srprofile","","Automated"
"C18009","1237s","INWK.EStore.srprofile","Passed","Automated"
"C18009","874s","INWK.EStore.srprofile","Retest","Automated"
"C18009","443s","INWK.EStore.srprofile","Retest","Automated"
"C18009","","INWK.EStore.srprofile","","Automated"
"C18010","1123s","INWK.EStore.srprofile","Passed","Automated"
"C18010","410s","INWK.EStore.srprofile","Retest","Automated"
"C18010","862s","INWK.EStore.srprofile","Retest","Automated"
"C18010","452s","INWK.EStore.srprofile","Retest","Automated"
"C18010","","INWK.EStore.srprofile","","Automated"
"C18013","719s","INWK.EStore.srprofile","Passed","Automated"
"C18013","411s","INWK.EStore.srprofile","Retest","Automated"
"C18013","429s","INWK.EStore.srprofile","Retest","Automated"
"C18013","390s","INWK.EStore.srprofile","Retest","Automated"
"C18013","404s","INWK.EStore.srprofile","Retest","Automated"
"C18013","410s","INWK.EStore.srprofile","Retest","Automated"
"C18013","","INWK.EStore.srprofile","","Automated"
"C18011","530s","INWK.EStore.srprofile","Passed","Automated"
"C18011","","INWK.EStore.srprofile","","Automated"
"C18012","665s","","Passed","Manual Only"
"C18012","","","","Manual Only"
"C18014","695s","","Passed","Manual Only"
"C18014","","","","Manual Only"
"C18823","1703s","","Passed","Manual Only"
"C18823","","","","Manual Only"
"C18826","12s","INWK.EStore.srprofile","Passed","Automated"
"C18826","","INWK.EStore.srprofile","","Automated"
"C18827","63s","INWK.EStore.srprofile","Passed","Automated"
"C18827","","INWK.EStore.srprofile","","Automated"
"C31259","705s","INWK.EStore.srprofile","Passed","Automated"
"C31259","619s","INWK.EStore.srprofile","Retest","Automated"
"C31259","","INWK.EStore.srprofile","","Automated"
"C31260","890s","INWK.EStore.srprofile","Passed","Automated"
"C31260","","INWK.EStore.srprofile","","Automated"
"C31261","820s","INWK.EStore.srprofile","Passed","Automated"
"C31261","336s","INWK.EStore.srprofile","Retest","Automated"
"C31261","329s","INWK.EStore.srprofile","Retest","Automated"
"C31261","338s","INWK.EStore.srprofile","Retest","Automated"
"C31261","","INWK.EStore.srprofile","","Automated"
"C31262","704s","INWK.EStore.srprofile","Passed","Automated"
"C31262","","INWK.EStore.srprofile","","Automated"
"C31263","834s","INWK.EStore.srprofile","Passed","Automated"
"C31263","","INWK.EStore.srprofile","","Automated"
"C31264","773s","INWK.EStore.srprofile","Passed","Automated"
"C31264","332s","INWK.EStore.srprofile","Retest","Automated"
"C31264","323s","INWK.EStore.srprofile","Retest","Automated"
"C31264","","INWK.EStore.srprofile","","Automated"
"C31265","506s","INWK.EStore.srprofile","Passed","Automated"
"C31265","","INWK.EStore.srprofile","","Automated"
"C31265","","INWK.EStore.srprofile","","Automated"
"C31265","200s","INWK.EStore.srprofile","Retest","Automated"
"C31265","211s","INWK.EStore.srprofile","Retest","Automated"
"C31265","","INWK.EStore.srprofile","","Automated"
"C31266","400s","INWK.EStore.srprofile","Passed","Automated"
"C31266","","INWK.EStore.srprofile","","Automated"
"C31266","","INWK.EStore.srprofile","","Automated"
"C31266","","INWK.EStore.srprofile","","Automated"
"C31267","434s","INWK.EStore.srprofile","Passed","Automated"
"C31267","385s","INWK.EStore.srprofile","Retest","Automated"
"C31267","377s","INWK.EStore.srprofile","Retest","Automated"
"C31267","","INWK.EStore.srprofile","","Automated"
"C79926","596s","INWK.EStore.srprofile","Passed","Automated"
"C79926","","INWK.EStore.srprofile","","Automated"
"C96380","60s","","Passed","To Be Automated"
"C96380","","","","To Be Automated"
"C96382","569s","","Passed","To Be Automated"
"C96382","","","","To Be Automated"
"C96383","78s","","Passed","To Be Automated"
"C96383","","","","To Be Automated"
"C96384","175s","","Passed","To Be Automated"
"C96384","","","","To Be Automated"
"C96385","197s","","Passed","To Be Automated"
"C96385","","","","To Be Automated"
"C96386","111s","","Passed","To Be Automated"
"C96386","","","","To Be Automated"
"C96395","20s","","Passed","To Be Automated"
"C96395","","","","To Be Automated"
"C96387","9s","","Passed","To Be Automated"
"C96387","","","","To Be Automated"
"C96388","674s","","Passed","To Be Automated"
"C96388","","","","To Be Automated"
"C96389","171s","","Passed","To Be Automated"
"C96389","","","","To Be Automated"
"C96390","248s","","Passed","To Be Automated"
"C96390","","","","To Be Automated"
"C96391","70s","","Passed","To Be Automated"
"C96391","","","","To Be Automated"
"C96392","45s","","Passed","To Be Automated"
"C96392","","","","To Be Automated"
"C96393","90s","","Passed","To Be Automated"
"C96393","","","","To Be Automated"
"C96394","61s","","Passed","To Be Automated"
"C96394","","","","To Be Automated"
"C56712","169s","INWK.EStore.srprofile","Passed","Automated"
"C56712","","INWK.EStore.srprofile","","Automated"
"C56752","423s","","Passed","Manual Only"
"C56752","","","","Manual Only"
"C56713","42s","","Passed","Manual Only"
"C56713","","","","Manual Only"
"C56714","21s","","Passed","Manual Only"
"C56714","","","","Manual Only"
"C119661","28s","","Passed","To Be Automated"
"C119661","","","","To Be Automated"
"C119662","25s","","Passed","To Be Automated"
"C119662","","","","To Be Automated"
"C119663","73s","","Passed","To Be Automated"
"C119663","","","","To Be Automated"
"C101042","139s","","Passed","To Be Automated"
"C101042","","","","To Be Automated"
"C101043","135s","","Passed","To Be Automated"
"C101043","","","","To Be Automated"
"C101044","21s","","Passed","To Be Automated"
"C101044","","","","To Be Automated"
"C101045","17s","","Passed","To Be Automated"
"C101045","","","","To Be Automated"
"C101046","616s","","Passed","To Be Automated"
"C101046","","","","To Be Automated"
"C101047","30s","","Passed","To Be Automated"
"C101047","","","","To Be Automated"
"C101048","16s","","Passed","To Be Automated"
"C101048","","","","To Be Automated"
"C101075","317s","","Passed","To Be Automated"
"C101075","","","","To Be Automated"
"C101076","228s","","Passed","To Be Automated"
"C101076","","","","To Be Automated"
"C101078","69s","","Passed","To Be Automated"
"C101078","","","","To Be Automated"
"C122127","74s","","Passed","To Be Automated"
"C122127","","","","To Be Automated"
"C122128","81s","","Passed","To Be Automated"
"C122128","","","","To Be Automated"
"C101077","47s","","Passed","To Be Automated"
"C101077","","","","To Be Automated"
"C101079","951s","","Passed","To Be Automated"
"C101079","","","","To Be Automated"
"C101080","284s","","Passed","To Be Automated"
"C101080","","","","To Be Automated"
"C101081","82s","","Passed","To Be Automated"
